               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.5925,              3.9901,              1.7193,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,               0.082,               0.002,               0.002
                   1,              2.0423,              2.2381,              1.4931,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,            0.063019,           0.0040188,           0.0040188
                   2,               1.842,              1.8999,               1.393,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,            0.043954,           0.0059545,           0.0059545
                   3,              1.8244,              1.7864,              1.3367,                   0,                   0,                   0,                   0,                   0,                 nan,                   0,            0.024807,            0.007807,            0.007807
                   4,              1.7649,              1.6883,              1.3066,             0.10571,              0.1093,            0.018992,           0.0060191,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                   5,              1.6773,              1.7416,              1.3286,             0.55964,             0.49184,             0.51529,             0.23749,              1.9506,              11.745,              2.3462,            0.009208,            0.009208,            0.009208
                   6,              1.6377,              1.5653,              1.2914,             0.49252,             0.61847,              0.5432,             0.22485,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   7,              1.6204,              1.4649,              1.2552,             0.69488,             0.28151,             0.37552,             0.16399,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                   8,              1.6242,              1.4497,              1.2363,             0.56144,             0.66102,             0.70677,             0.34987,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                   9,              1.5617,              1.3618,              1.2186,             0.52631,             0.70594,                0.68,             0.37781,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  10,              1.5233,              1.3029,              1.2235,             0.69763,             0.80893,             0.80212,             0.39487,              1.7346,              1.0757,              1.5711,            0.008218,            0.008218,            0.008218
                  11,              1.4551,              1.2799,              1.2495,             0.86071,             0.91091,             0.92661,             0.55693,              1.4107,             0.99487,              1.3702,             0.00802,             0.00802,             0.00802
                  12,              1.4339,              1.2084,              1.2345,             0.79602,             0.77005,             0.88884,             0.54111,              1.3708,               1.257,              1.3707,            0.007822,            0.007822,            0.007822
                  13,              1.4349,               1.204,              1.2242,             0.73603,              0.9487,             0.91684,             0.54518,              1.3469,             0.92036,               1.333,            0.007624,            0.007624,            0.007624
                  14,              1.4074,              1.1377,              1.1761,             0.83913,             0.94874,             0.93654,             0.57871,              1.2732,              0.8459,              1.2859,            0.007426,            0.007426,            0.007426
                  15,              1.4336,              1.1324,              1.1845,             0.88552,             0.98036,             0.94348,              0.5246,              1.4861,             0.95554,               1.415,            0.007228,            0.007228,            0.007228
                  16,              1.3984,              1.1102,               1.174,             0.85384,             0.95993,             0.93393,             0.59468,              1.2702,             0.80157,               1.282,             0.00703,             0.00703,             0.00703
                  17,              1.3811,              1.0931,              1.1906,             0.92154,             0.97567,              0.9533,             0.59043,               1.293,              0.7222,              1.3091,            0.006832,            0.006832,            0.006832
